title,author,isbn,year,category,rating,description
DD Book 065,DD Author 065,6658879525611,2024,Sci-Fi,3.9,Data-driven row 65: a sci-fi book by DD Author 065.
DD Book 066,DD Author 066,6665474620894,1996,Fiction,4.8,Data-driven row 66: a fiction book by DD Author 066.
DD Book 067,DD Author 067,6675736462531,2021,Classic,4.9,Data-driven row 67: a classic book by DD Author 067.
DD Book 068,DD Author 068,6684218981849,1980,Sci-Fi,5.0,Data-driven row 68: a sci-fi book by DD Author 068.
DD Book 069,DD Author 069,6694482238042,2002,Fiction,3.4,Data-driven row 69: a fiction book by DD Author 069.
DD Book 070,DD Author 070,6709265609985,2002,Fantasy,3.5,Data-driven row 70: a fantasy book by DD Author 070.
DD Book 071,DD Author 071,6715759234471,1954,Romance,3.4,Data-driven row 71: a romance book by DD Author 071.
DD Book 072,DD Author 072,6727271954644,1989,Fantasy,3.4,Data-driven row 72: a fantasy book by DD Author 072.
DD Book 073,DD Author 073,6733834820954,2001,History,3.6,Data-driven row 73: a history book by DD Author 073.
DD Book 074,DD Author 074,6748616379926,1994,Classic,4.4,Data-driven row 74: a classic book by DD Author 074.
DD Book 075,DD Author 075,6751118543408,1983,Sci-Fi,4.2,Data-driven row 75: a sci-fi book by DD Author 075.
DD Book 076,DD Author 076,6769519284858,1954,Mystery,4.2,Data-driven row 76: a mystery book by DD Author 076.
DD Book 077,DD Author 077,6778672650595,2005,Mystery,3.8,Data-driven row 77: a mystery book by DD Author 077.
DD Book 078,DD Author 078,6783476426797,1982,Fiction,4.4,Data-driven row 78: a fiction book by DD Author 078.
DD Book 079,DD Author 079,6799597198563,2018,Fantasy,3.7,Data-driven row 79: a fantasy book by DD Author 079.
DD Book 080,DD Author 080,6804642197907,1988,Biography,4.3,Data-driven row 80: a biography book by DD Author 080.
DD Book 081,DD Author 081,6816695912196,1987,Sci-Fi,3.4,Data-driven row 81: a sci-fi book by DD Author 081.
DD Book 082,DD Author 082,6827739255769,2001,Fiction,3.6,Data-driven row 82: a fiction book by DD Author 082.
DD Book 083,DD Author 083,6836197695041,2024,History,3.9,Data-driven row 83: a history book by DD Author 083.
DD Book 084,DD Author 084,6845659161352,2015,History,3.2,Data-driven row 84: a history book by DD Author 084.
DD Book 085,DD Author 085,6852333241445,1975,Sci-Fi,3.0,Data-driven row 85: a sci-fi book by DD Author 085.
DD Book 086,DD Author 086,6865607762160,2003,Fantasy,4.4,Data-driven row 86: a fantasy book by DD Author 086.
DD Book 087,DD Author 087,6876944142262,2001,Fantasy,3.3,Data-driven row 87: a fantasy book by DD Author 087.
DD Book 088,DD Author 088,6883953315788,1963,Classic,3.4,Data-driven row 88: a classic book by DD Author 088.
DD Book 089,DD Author 089,6892995226582,2021,Fantasy,4.8,Data-driven row 89: a fantasy book by DD Author 089.
DD Book 090,DD Author 090,6905816198518,1967,Romance,4.3,Data-driven row 90: a romance book by DD Author 090.
DD Book 091,DD Author 091,6917852415525,2006,Classic,4.7,Data-driven row 91: a classic book by DD Author 091.
DD Book 092,DD Author 092,6927648059419,1970,Romance,3.9,Data-driven row 92: a romance book by DD Author 092.
DD Book 093,DD Author 093,6934228856718,1985,Romance,4.3,Data-driven row 93: a romance book by DD Author 093.
DD Book 094,DD Author 094,6946474354351,1959,Biography,3.5,Data-driven row 94: a biography book by DD Author 094.
DD Book 095,DD Author 095,6956737421496,2019,Mystery,3.3,Data-driven row 95: a mystery book by DD Author 095.
DD Book 096,DD Author 096,6966288227800,1969,Fantasy,3.1,Data-driven row 96: a fantasy book by DD Author 096.
DD Book 097,DD Author 097,6977045593274,2019,Romance,3.8,Data-driven row 97: a romance book by DD Author 097.
DD Book 098,DD Author 098,6987099469983,2024,Fiction,4.7,Data-driven row 98: a fiction book by DD Author 098.
DD Book 099,DD Author 099,6996928691380,1950,History,3.6,Data-driven row 99: a history book by DD Author 099.
